muni_name,mbta65,mbta175
Arlington,1,1
Bedford,1,1
Belmont,1,1
Beverly,1,1
Boston,1,1
Braintree,1,1
Brookline,1,1
Burlington,1,1
Cambridge,1,1
Canton,1,1
Chelsea,1,1
Cohasset,1,1
Concord,1,1
Danvers,1,1
Dedham,1,1
Dover,1,1
Everett,1,1
Framingham,1,1
Hamilton,1,1
Hingham,1,1
Holbrook,1,1
Hull,1,1
Lexington,1,1
Lincoln,1,1
Lynn,1,1
Lynnfield,1,1
Malden,1,1
Manchester-by-the-Sea,1,1
Marblehead,1,1
Medfield,1,1
Medford,1,1
Melrose,1,1
Middleton,1,1
Milton,1,1
Nahant,1,1
Natick,1,1
Needham,1,1
Newton,1,1
Norfolk,1,1
Norwood,1,1
Peabody,1,1
Quincy,1,1
Randolph,1,1
Reading,1,1
Revere,1,1
Salem,1,1
Saugus,1,1
Sharon,1,1
Somerville,1,1
Stoneham,1,1
Swampscott,1,1
Topsfield,1,1
Wakefield,1,1
Walpole,1,1
Waltham,1,1
Watertown,1,1
Wellesley,1,1
Wenham,1,1
Weston,1,1
Westwood,1,1
Weymouth,1,1
Wilmington,1,1
Winchester,1,1
Winthrop,1,1
Woburn,1,1
Abington,0,1
Acton,0,1
Amesbury,0,1
Andover,0,1
Ashburnham,0,1
Ashby,0,1
Ashland,0,1
Attleboro,0,1
Auburn,0,1
Ayer,0,1
Bellingham,0,1
Berkley,0,1
Billerica,0,1
Boxborough,0,1
Boxford,0,1
Bridgewater,0,1
Brockton,0,1
Carlisle,0,1
Carver,0,1
Chelmsford,0,1
Dracut,0,1
Duxbury,0,1
East Bridgewater,0,1
Easton,0,1
Essex,0,1
Fitchburg,0,1
Foxborough,0,1
Franklin,0,1
Freetown,0,1
Georgetown,0,1
Gloucester,0,1
Grafton,0,1
Groton,0,1
Groveland,0,1
Halifax,0,1
Hanover,0,1
Hanson,0,1
Harvard,0,1
Haverhill,0,1
Holden,0,1
Holliston,0,1
Hopkinton,0,1
Ipswich,0,1
Kingston,0,1
Lakeville,0,1
Lancaster,0,1
Lawrence,0,1
Leicester,0,1
Leominster,0,1
Littleton,0,1
Lowell,0,1
Lunenburg,0,1
Mansfield,0,1
Marlborough,0,1
Marshfield,0,1
Maynard,0,1
Medway,0,1
Merrimac,0,1
Methuen,0,1
Middleborough,0,1
Millbury,0,1
Millis,0,1
Newbury,0,1
Newburyport,0,1
North Andover,0,1
North Attleborough,0,1
North Reading,0,1
Northborough,0,1
Northbridge,0,1
Norton,0,1
Norwell,0,1
Paxton,0,1
Pembroke,0,1
Plymouth,0,1
Plympton,0,1
Princeton,0,1
Raynham,0,1
Rehoboth,0,1
Rochester,0,1
Rockland,0,1
Rockport,0,1
Rowley,0,1
Salisbury,0,1
Scituate,0,1
Seekonk,0,1
Sherborn,0,1
Shirley,0,1
Shrewsbury,0,1
Southborough,0,1
Sterling,0,1
Stoughton,0,1
Stow,0,1
Sudbury,0,1
Sutton,0,1
Taunton,0,1
Tewksbury,0,1
Townsend,0,1
Tyngsborough,0,1
Upton,0,1
Wareham,0,1
Wayland,0,1
West Boylston,0,1
West Bridgewater,0,1
West Newbury,0,1
Westborough,0,1
Westford,0,1
Westminster,0,1
Whitman,0,1
Worcester,0,1
Wrentham,0,1
Acushnet,0,0
Adams,0,0
Agawam,0,0
Alford,0,0
Amherst,0,0
Aquinnah,0,0
Ashfield,0,0
Athol,0,0
Avon,0,0
Barnstable,0,0
Barre,0,0
Becket,0,0
Belchertown,0,0
Berlin,0,0
Bernardston,0,0
Blackstone,0,0
Blandford,0,0
Bolton,0,0
Bourne,0,0
Boylston,0,0
Brewster,0,0
